Method,dataset,seed,Train size,Number of features for test,kBET,ASW (true labels),ASW (predicted labels),ARI,NMI
scGPT,snrna,46,680,1200,0.9499263622974963,0.49041831,0.50161445,0.2898098498788626,0.2990474692039337
scGPT,snrna,46,680,1600,0.9543446244477173,0.49055257,0.5024437,0.29000514907308517,0.29892380025530146
scGPT,snrna,46,680,2000,0.9572901325478645,0.49433377,0.503616,0.29022824168874006,0.2986488461329926
MultiVI,scmul,42,4560,400,0.9485815602836879,0.33935887,0.63223624,0.2890050142345298,0.3137480783542314
MultiVI,scmul,42,4560,800,0.950354609929078,0.31706655,0.63829255,0.28959126046054423,0.31880484971748313
MultiVI,scmul,42,4560,1200,0.9663120567375887,0.29512185,0.6373921,0.2898454021140137,0.3167658150402176
MultiVI,scmul,42,4560,1600,0.973404255319149,0.28825402,0.63777757,0.289683445580248,0.31837524592421884
MultiVI,scmul,42,4560,2000,0.950354609929078,0.29317358,0.6426714,0.2894010513602707,0.32306280029883544
MultiVI,scmul,43,4560,400,0.9574468085106383,0.29335034,0.646025,0.2903775194421656,0.32523565263009235
MultiVI,scmul,43,4560,800,0.9379432624113475,0.24467069,0.637944,0.2903915054524908,0.32181589002732675
MultiVI,scmul,43,4560,1200,0.9574468085106383,0.25458646,0.64519304,0.29021650905781016,0.31855840099944016
MultiVI,scmul,43,4560,1600,0.9450354609929078,0.23313889,0.658186,0.29013046765087286,0.3306127143973415
MultiVI,scmul,43,4560,2000,0.9273049645390071,0.2486938,0.6448666,0.2892179707804742,0.31868584424299584
MultiVI,scmul,44,4560,400,0.9397163120567376,0.30690986,0.63235855,0.2897395628879187,0.3215408560315672
MultiVI,scmul,44,4560,800,0.9556737588652482,0.2791401,0.63550526,0.2895344845494868,0.3234883332431592
MultiVI,scmul,44,4560,1200,0.9645390070921985,0.2727942,0.63333064,0.2894502823531709,0.32016036632460104
MultiVI,scmul,44,4560,1600,0.9432624113475178,0.30413604,0.637337,0.2890555531372709,0.31923182824757446
