Method,Capability,fname,metric,sample_mean,feature_mean,seed,seed_num,task,split,path
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+val.pkl,pcc,0.2905968531224873,0.019716201425791027,seed_42,42,multitask,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+val.pkl,spearman,0.15767997888653423,0.002020586415724858,seed_42,42,multitask,val,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+val.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+tst.pkl,mse,0.12071040434813106,0.12071040434813088,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+tst.pkl,mae,0.2918815482976552,0.2918815482976553,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+tst.pkl,jsd,0.025979617898403265,0.015560513295002763,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+tst.pkl,pcc,-0.00843660358623584,-0.026115890523629916,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_label+tst.pkl,spearman,-0.007722145262892327,-0.022344411934625108,seed_42,42,focus_label,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_label+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+tst.pkl,mse,0.13944231342656616,0.13944231342656593,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+tst.pkl,mae,0.3167090228002193,0.31670902280021945,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+tst.pkl,jsd,0.018646254688748858,0.01717150083065028,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+tst.pkl,pcc,0.384652294868097,0.02414981844731446,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask_noguide+tst.pkl,spearman,0.15554655672734852,0.020058186796477237,seed_42,42,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.pkl,mse,0.15692693780931077,0.1569269378093106,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.pkl,mae,0.2882034366361564,0.2882034366361564,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.pkl,jsd,0.02391711942991686,0.019940776499121075,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.pkl,pcc,0.28601896031127694,0.024371958563267897,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+focus_recon+tst.pkl,spearman,0.16129132317465458,0.017933347704068826,seed_42,42,focus_recon,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+focus_recon+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mse,0.15907055044666057,0.15907055044666027,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,mae,0.296741041291681,0.2967410412916811,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,jsd,0.02280522408043962,0.018485813956395706,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,pcc,0.29692346468551684,0.013048575741454507,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+tst.pkl,spearman,0.1638863018310626,0.0112421975824949,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+trn.pkl,mse,0.15570575386848776,0.15570575386848876,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+trn.pkl,mae,0.29341134043983386,0.2934113404398325,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+trn.pkl,jsd,0.021264943995903916,0.017199518188453725,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+trn.pkl,pcc,0.2970097632294814,0.024226479997536056,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_42+multitask+trn.pkl,spearman,0.16444672625537785,0.01566181704119661,seed_42,42,multitask,trn,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_42+multitask+trn.pkl
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mse,0.177470737812539,0.17747073781253853,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_46+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,mae,0.33332639680910353,0.33332639680910353,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_46+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,jsd,0.021387774942364397,0.018541540911404426,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_46+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,pcc,0.32069918945248493,0.004158551546224707,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_46+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_46+multitask+tst.pkl,spearman,0.17638635735475056,0.001287651232987255,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_46+multitask+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask_noguide+tst.pkl,mse,0.15051108888439999,0.1505110888843999,seed_44,44,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask_noguide+tst.pkl
DeepTAN,Feature Reconstruction,preds+seed_44+multitask_noguide+tst.pkl,mae,0.3130589107054651,0.3130589107054651,seed_44,44,multitask_noguide,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/sc_rna_annotated_minmi0.0_top2000/preds+seed_44+multitask_noguide+tst.pkl
