method,dataset,seed,train_size,n_feat,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden
scGPT,snrna,42,5439,400,0.96759941089838,0.49145567,0.5051338,0.0009720427135894354,0.013048132605987514,-3.280978620032997e-6,0.0009720427135894354,0.013048132605987514,-3.280978620032997e-6
scGPT,snrna,42,5439,800,0.9646539027982327,0.4988585,0.50269645,-0.002655359921402825,0.019207618171516717,0.004374315293362337,-0.002655359921402825,0.019207618171516717,0.004374315293362337
scGPT,snrna,42,5439,1200,0.9631811487481591,0.49647135,0.50389415,0.0017535770223961885,0.020872520668070643,0.006935326884085498,0.0017535770223961885,0.020872520668070643,0.006935326884085498
scGPT,snrna,42,5439,1600,0.9705449189985272,0.4954783,0.5011907,-0.003627199392295281,0.011872709966766929,-0.0030824361232276378,-0.003627199392295281,0.011872709966766929,-0.0030824361232276378
scGPT,snrna,42,5439,2000,0.9631811487481591,0.49339083,0.50273764,-0.004066152688711724,0.007978456238189274,-0.005225953984965864,-0.004066152688711724,0.007978456238189274,-0.005225953984965864
scGPT,snrna,43,5439,400,0.9587628865979382,0.4942778,0.50295585,-0.0005135046831352601,0.01802534468255705,0.0028252765179178413,-0.0005135046831352601,0.01802534468255705,0.0028252765179178413
scGPT,snrna,43,5439,800,0.9558173784977909,0.48732278,0.50385594,-0.000010603912185668917,0.015041423633903716,0.0011966191349195845,-0.000010603912185668917,0.015041423633903716,0.0011966191349195845
scGPT,snrna,43,5439,1200,0.9646539027982327,0.49659932,0.5030312,-0.0013068876902967111,0.010523583033625085,-0.0034043711181524733,-0.0013068876902967111,0.010523583033625085,-0.0034043711181524733
scGPT,snrna,43,5439,1600,0.9690721649484536,0.49178067,0.5042713,-0.003171630301835001,0.01356356351698469,-0.0003600957736231167,-0.003171630301835001,0.01356356351698469,-0.0003600957736231167
scGPT,snrna,43,5439,2000,0.9617083946980854,0.49104932,0.5039305,0.0015754896648328147,0.02267766121610671,0.0077952982351051905,0.0015754896648328147,0.02267766121610671,0.0077952982351051905
scGPT,snrna,44,5439,400,0.946980854197349,0.49661487,0.50336796,0.0014379258376022823,0.016226630538288645,0.002099156162756734,0.0014379258376022823,0.016226630538288645,0.002099156162756734
scGPT,snrna,44,5439,800,0.9572901325478645,0.49516627,0.50183594,0.0021876366878708304,0.014698372310627452,-0.0010232387682062353,0.0021876366878708304,0.014698372310627452,-0.0010232387682062353
scGPT,snrna,44,5439,1200,0.9587628865979382,0.49314874,0.5031388,0.0008202599775889524,0.012414301958199871,-0.0005916514844777442,0.0008202599775889524,0.012414301958199871,-0.0005916514844777442
scGPT,snrna,44,5439,1600,0.9543446244477173,0.49669006,0.50282043,-0.0009988352114237043,0.016058156314064927,0.0012579974773775523,-0.0009988352114237043,0.016058156314064927,0.0012579974773775523
scGPT,snrna,44,5439,2000,0.9734904270986745,0.49157947,0.50203663,0.0006828551761093571,0.01898537401482347,0.004252263239136367,0.0006828551761093571,0.01898537401482347,0.004252263239136367
scGPT,snrna,45,5439,400,0.9499263622974963,0.49669713,0.5043369,-0.0021444742281510835,0.013052782228558199,-0.0008850402481100864,-0.0021444742281510835,0.013052782228558199,-0.0008850402481100864
