n_feat,trn_grad,trn_data,Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
400,2,sc_rna_annotated_minmi0.1_top2000_quarter,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.41998375132935606,0.2408088348515925,0.3755522827687776,0.5195549592333227,0.5607473905557908,0.3755522827687776,0.5663241397777481,0.3755522827687776,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_quarter+top_400/preds+seed_45+multitask+tst.pkl
2000,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.49390430331351276,0.23000356644943748,0.4698085419734904,0.4744032958627619,0.5244829660145621,0.4698085419734904,0.5249190591028094,0.4698085419734904,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000/preds+seed_42+multitask+tst.pkl
2000,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.5884288792978043,0.2766023391023391,0.605301914580265,0.5233310211904636,0.5558054223858564,0.605301914580265,0.5875615045681676,0.605301914580265,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000/preds+seed_46+multitask+tst.pkl
2000,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.5816780231236387,0.2065687121866897,0.7039764359351989,0.5257285262551764,0.5517709257005174,0.7039764359351989,0.49558282235202517,0.7039764359351989,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000/preds+seed_44+multitask+tst.pkl
2000,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.5816780231236387,0.2065687121866897,0.7039764359351989,0.5230655695097199,0.5663958108380535,0.7039764359351989,0.49558282235202517,0.7039764359351989,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000/preds+seed_45+multitask+tst.pkl
2000,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.00006900165388339152,0.0029282576866764276,0.005891016200294551,0.5024490931623355,0.5495266929788265,0.005891016200294551,0.000034704071872132844,0.005891016200294551,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000/preds+seed_43+multitask+tst.pkl
1200,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.2718747911854631,0.149657043089458,0.26362297496318116,0.5063369049361991,0.5437878902364791,0.26362297496318116,0.5399779756703356,0.26362297496318116,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1200/preds+seed_42+multitask+tst.pkl
1200,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.535672177316149,0.24867256637168142,0.5272459499263623,0.5071719913655125,0.5512278192165165,0.5272459499263623,0.5470463459530134,0.5272459499263623,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1200/preds+seed_46+multitask+tst.pkl
1200,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.5816780231236387,0.2065687121866897,0.7039764359351989,0.49656712496059957,0.5452150576785849,0.7039764359351989,0.49558282235202517,0.7039764359351989,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1200/preds+seed_44+multitask+tst.pkl
1200,8,sc_rna_annotated_minmi0.1_top2000,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.05894305229190496,0.07878411910669975,0.187039764359352,0.521570424943617,0.5671380371844401,0.187039764359352,0.03498387345160192,0.187039764359352,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000+top_1200/preds+seed_45+multitask+tst.pkl
