method,dataset,seed,train_size,n_feat,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden
MultiVI,scmul,42,4560,400,0.9485815602836879,0.33935887,0.63223624,-0.0037506111908227864,0.054387618209852,-0.016704655490908337,-0.0037506111908227864,0.054387618209852,-0.016704655490908337
MultiVI,scmul,42,4560,800,0.950354609929078,0.31706655,0.63829255,-0.0016943725535133094,0.06586994750993586,-0.00426990663692514,-0.0016943725535133094,0.06586994750993586,-0.00426990663692514
MultiVI,scmul,42,4560,1200,0.9663120567375887,0.29512185,0.6373921,-0.0008114150796611029,0.06132233641006945,-0.00912760202312547,-0.0008114150796611029,0.06132233641006945,-0.00912760202312547
MultiVI,scmul,42,4560,1600,0.973404255319149,0.28825402,0.63777757,-0.0013735140982619758,0.06492065796301721,-0.0019338711794153669,-0.0013735140982619758,0.06492065796301721,-0.0019338711794153669
MultiVI,scmul,42,4560,2000,0.950354609929078,0.29317358,0.6426714,-0.002358524208521171,0.07503789168720436,-0.004209844746503286,-0.002358524208521171,0.07503789168720436,-0.004209844746503286
MultiVI,scmul,43,4560,400,0.9574468085106383,0.29335034,0.646025,0.0010211998051171363,0.0795578845137732,0.010367313036149938,0.0010211998051171363,0.0795578845137732,0.010367313036149938
MultiVI,scmul,43,4560,800,0.9379432624113475,0.24467069,0.637944,0.001069077997564392,0.07239700516632497,-0.0038120891882299102,0.001069077997564392,0.07239700516632497,-0.0038120891882299102
MultiVI,scmul,43,4560,1200,0.9574468085106383,0.25458646,0.64519304,0.000468952872380028,0.06532594082008858,-0.001383704811919323,0.000468952872380028,0.06532594082008858,-0.001383704811919323
MultiVI,scmul,43,4560,1600,0.9450354609929078,0.23313889,0.658186,0.0001730362252921893,0.09032750083747415,0.01553054233894665,0.0001730362252921893,0.09032750083747415,0.01553054233894665
MultiVI,scmul,43,4560,2000,0.9273049645390071,0.2486938,0.6448666,-0.0030004962182820826,0.06560744701948219,-0.004400048397373598,-0.0030004962182820826,0.06560744701948219,-0.004400048397373598
MultiVI,scmul,44,4560,400,0.9397163120567376,0.30690986,0.63235855,-0.001178518016880851,0.07180972736655626,0.002060472639122784,-0.001178518016880851,0.07180972736655626,0.002060472639122784
