method,dataset,seed,train_size,n_feat,kbet,asw_true_label,asw_pred_label,ari,nmi,ami,ari_leiden,nmi_leiden,ami_leiden
MultiVI,snrna,42,5439,400,0.96759941089838,0.46400583,0.6116527,-0.001742683971628202,0.01743700557218223,0.0016856745613017593,-0.001742683971628202,0.01743700557218223,0.0016856745613017593
MultiVI,snrna,42,5439,800,0.9425625920471281,0.46383536,0.626827,0.0009289993913826967,0.019037491626128077,0.0034257408391763357,0.0009289993913826967,0.019037491626128077,0.0034257408391763357
MultiVI,snrna,42,5439,1200,0.9646539027982327,0.46937048,0.6408046,0.0021183716831324724,0.016438234882997418,0.0009319669638048851,0.0021183716831324724,0.016438234882997418,0.0009319669638048851
MultiVI,snrna,42,5439,1600,0.9720176730486009,0.47149673,0.6412202,-0.00006510546388273205,0.017937578094909624,-0.00013800478397022246,-0.00006510546388273205,0.017937578094909624,-0.00013800478397022246
MultiVI,snrna,42,5439,2000,0.9749631811487481,0.47448304,0.6480892,0.000689340023362057,0.01860971053877148,0.0031207673585776485,0.000689340023362057,0.01860971053877148,0.0031207673585776485
MultiVI,snrna,43,5439,400,0.9764359351988218,0.44234765,0.6415995,0.0019012548766531745,0.017854289351985766,0.002313325791714714,0.0019012548766531745,0.017854289351985766,0.002313325791714714
MultiVI,snrna,43,5439,800,0.9734904270986745,0.45789164,0.6414061,-0.00018369792159687284,0.016094372519921366,-0.0007434419935451655,-0.00018369792159687284,0.016094372519921366,-0.0007434419935451655
MultiVI,snrna,43,5439,1200,0.9646539027982327,0.47218785,0.6417124,0.0008693199481694159,0.012066375348964408,-0.003542334982973114,0.0008693199481694159,0.012066375348964408,-0.003542334982973114
MultiVI,snrna,43,5439,1600,0.96759941089838,0.48519793,0.65314424,0.0014258837919338277,0.011565797636864524,-0.0049784444281742515,0.0014258837919338277,0.011565797636864524,-0.0049784444281742515
MultiVI,snrna,43,5439,2000,0.9690721649484536,0.47779155,0.6462314,-0.0011304731270000378,0.013422533924153027,-0.003820108228451362,-0.0011304731270000378,0.013422533924153027,-0.003820108228451362
MultiVI,snrna,44,5439,400,0.9602356406480118,0.4918858,0.6282066,0.0009586271649373076,0.013472887931955045,-0.002880476157355937,0.0009586271649373076,0.013472887931955045,-0.002880476157355937
MultiVI,snrna,44,5439,800,0.9646539027982327,0.47899476,0.64402455,-0.0015023124449486025,0.011310065527628541,-0.0043389101534843065,-0.0015023124449486025,0.011310065527628541,-0.0043389101534843065
MultiVI,snrna,44,5439,1200,0.9572901325478645,0.476172,0.6317038,-0.0006824933644442826,0.011188845344734553,-0.005300978507734443,-0.0006824933644442826,0.011188845344734553,-0.005300978507734443
MultiVI,snrna,44,5439,1600,0.9690721649484536,0.46901262,0.6368028,-0.0015134643478530187,0.01095881725926159,-0.00788577717324106,-0.0015134643478530187,0.01095881725926159,-0.00788577717324106
MultiVI,snrna,44,5439,2000,0.9484536082474226,0.4729881,0.63469493,-0.0007798683910599249,0.010264545571430216,-0.007078570553052403,-0.0007798683910599249,0.010264545571430216,-0.007078570553052403
MultiVI,snrna,45,5439,400,0.946980854197349,0.47383234,0.61971873,-0.000030677103277175336,0.011446832444623764,-0.00420276287467966,-0.000030677103277175336,0.011446832444623764,-0.00420276287467966
MultiVI,snrna,45,5439,800,0.9720176730486009,0.47865328,0.6270931,0.003806545260586807,0.01563749930275749,-0.0000212560403411438,0.003806545260586807,0.01563749930275749,-0.0000212560403411438
MultiVI,snrna,45,5439,1200,0.9646539027982327,0.47684863,0.62331545,-0.0035087993768241365,0.017109607180689747,-0.000357902384282689,-0.0035087993768241365,0.017109607180689747,-0.000357902384282689
MultiVI,snrna,45,5439,1600,0.9602356406480118,0.47856086,0.605414,-0.0020594935472635877,0.016178328832732167,-0.0031791466708924183,-0.0020594935472635877,0.016178328832732167,-0.0031791466708924183
MultiVI,snrna,45,5439,2000,0.9617083946980854,0.48219305,0.6147926,0.001695364691370274,0.016782501251041124,0.00031135434107061957,0.001695364691370274,0.016782501251041124,0.00031135434107061957
MultiVI,snrna,46,5439,400,0.979381443298969,0.44146958,0.62633854,0.0018600729434984599,0.011524317259745332,-0.003260799122002301,0.0018600729434984599,0.011524317259745332,-0.003260799122002301
MultiVI,snrna,46,5439,800,0.9823269513991163,0.41948405,0.6216567,0.004124217029933582,0.019988855975539177,0.003596463508032084,0.004124217029933582,0.019988855975539177,0.003596463508032084
MultiVI,snrna,46,5439,1200,0.9705449189985272,0.4250816,0.638141,0.0016287270136650723,0.016184351560649707,0.0005681133684722661,0.0016287270136650723,0.016184351560649707,0.0005681133684722661
MultiVI,snrna,46,5439,1600,0.9779086892488954,0.42070952,0.62218606,0.0005884970297432653,0.016313138545365372,-0.001723693213788115,0.0005884970297432653,0.016313138545365372,-0.001723693213788115
MultiVI,snrna,46,5439,2000,0.9720176730486009,0.4317655,0.62997305,0.0013771100330129112,0.013420368338669867,-0.0030761789147970694,0.0013771100330129112,0.013420368338669867,-0.0030761789147970694
MultiVI,snrna,42,2720,400,0.9263622974963182,0.47277993,0.60557616,0.0008892019937762439,0.021601568545810353,0.006124329279683033,0.0008892019937762439,0.021601568545810353,0.006124329279683033
MultiVI,snrna,42,2720,800,0.9484536082474226,0.47065565,0.65732473,0.0009313176653569308,0.02325079868297254,0.006268555080739977,0.0009313176653569308,0.02325079868297254,0.006268555080739977
MultiVI,snrna,42,2720,1200,0.9572901325478645,0.4696031,0.63549197,-0.0015112741209444356,0.017085493762956205,0.0007622657012670799,-0.0015112741209444356,0.017085493762956205,0.0007622657012670799
MultiVI,snrna,42,2720,1600,0.9617083946980854,0.47251913,0.65697074,0.00101613741704229,0.019587288643534883,0.002373970475885748,0.00101613741704229,0.019587288643534883,0.002373970475885748
MultiVI,snrna,42,2720,2000,0.9528718703976435,0.4704681,0.65836287,0.00217751136732269,0.020140378411846162,0.0021090520718994817,0.00217751136732269,0.020140378411846162,0.0021090520718994817
MultiVI,snrna,43,2720,400,0.9455081001472754,0.42400432,0.6306534,0.0010482384290773246,0.010466451337923587,-0.0053626876420192395,0.0010482384290773246,0.010466451337923587,-0.0053626876420192395
MultiVI,snrna,43,2720,800,0.9661266568483063,0.44832036,0.6437574,0.002189858024137919,0.015091329463995093,-0.000544771638181083,0.002189858024137919,0.015091329463995093,-0.000544771638181083
